periodo,recaudacion
2022-01,1171943.0637611402
2022-02,1166514.24060695
2022-03,1241088.95711712
2022-04,1341595.35611988
2022-05,1551369.96283376
2022-06,1680901.30723038
2022-07,1745178.10466373
2022-08,1731319.4924793502
2022-09,2127180.67389125
2022-10,1964056.35257018
2022-11,1953859.6578480103
2022-12,2307475.60560662
2023-01,2265961.79873514
2023-02,2126337.89725611
2023-03,2336942.38424853
2023-04,2551511.44943979
2023-05,3178453.6382806497
2023-06,3517257.61702437
2023-07,3571198.0279958905
2023-08,4062431.79948446
2023-09,4303335.131374829
2023-10,4466095.489322309
2023-11,4679609.85737704
2023-12,5922687.18486099
2024-01,7699887.38525299
2024-02,7249313.922219569
2024-03,7726458.691607789
2024-04,8663813.17291225
2024-05,13379446.494132482
2024-06,11297649.20446474
2024-07,11910547.537222948
2024-08,11764131.36139993
2024-09,12844456.67623793
2024-10,12780380.77223406
2024-11,13026430.83240848
2024-12,13015182.677521478
2025-01,15031693.08669754
2025-02,13520837.1049842
2025-03,12733317.184110267
2025-04,13681770.96797642
2025-05,15862862.396723382
2025-06,16184465.69467703
2025-07,16998944.53100429
2025-08,15359108.194565669
2025-09,15444975.67077525
2025-10,16165741.65153192
2025-11,15598231.87420104
2025-12,16527267.82514989
2026-01,18337625.030341797
2026-02,16231829.881584609
2026-03,16071028.39721067
2026-04,17400833.306586187
2026-05,21513587.89724006
