periodo,tasa_vacancia,tasa_titular,tasa_subrogancia,tasa_concurso_vacantes,stale_meses
2023-01,0.2568,0.7432,0.0901,0.9347,17
2023-02,0.2568,0.7432,0.0901,0.9347,18
2023-03,0.2568,0.7432,0.0901,0.9347,19
2023-04,0.2568,0.7432,0.0901,0.9347,20
2023-05,0.2568,0.7432,0.0901,0.9347,21
2023-06,0.2568,0.7432,0.0901,0.9347,22
2023-07,0.2568,0.7432,0.0901,0.9347,23
2023-08,0.2568,0.7432,0.0901,0.9347,24
2023-09,0.2568,0.7432,0.0901,0.9347,25
2023-10,0.2568,0.7432,0.0901,0.9347,26
2023-11,0.2568,0.7432,0.0901,0.9347,27
2023-12,0.2568,0.7432,0.0901,0.9347,28
2024-01,0.2568,0.7432,0.0901,0.9347,29
2024-02,0.2568,0.7432,0.0901,0.9347,30
2024-03,0.2568,0.7432,0.0901,0.9347,31
2024-04,0.2792,0.7177,0.226,0.9366,0
2024-05,0.2792,0.7177,0.226,0.9366,1
2024-06,0.2792,0.7177,0.226,0.9366,2
2024-07,0.2792,0.7177,0.226,0.9366,3
2024-08,0.2792,0.7177,0.226,0.9366,4
2024-09,0.2792,0.7177,0.226,0.9366,5
2024-10,0.2792,0.7177,0.226,0.9366,6
2024-11,0.2792,0.7177,0.226,0.9366,7
2024-12,0.2792,0.7177,0.226,0.9366,8
2025-01,0.2792,0.7177,0.226,0.9366,9
2025-02,0.2792,0.7177,0.226,0.9366,10
2025-03,0.2792,0.7177,0.226,0.9366,11
2025-04,0.2792,0.7177,0.226,0.9366,12
2025-05,0.2792,0.7177,0.226,0.9366,13
2025-06,0.2792,0.7177,0.226,0.9366,14
2025-07,0.2792,0.7177,0.226,0.9366,15
2025-08,0.2792,0.7177,0.226,0.9366,16
2025-09,0.2792,0.7177,0.226,0.9366,17
2025-10,0.2792,0.7177,0.226,0.9366,18
2025-11,0.2792,0.7177,0.226,0.9366,19
2025-12,0.2792,0.7177,0.226,0.9366,20
2026-01,0.2792,0.7177,0.226,0.9366,21
2026-02,0.2792,0.7177,0.226,0.9366,22
2026-03,0.2792,0.7177,0.226,0.9366,23
2026-04,0.2792,0.7177,0.226,0.9366,24
2026-05,0.2792,0.7177,0.226,0.9366,25
2026-06,0.3613,0.6325,0.2953,1.0,0
